time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-02-15T10:32:46.255Z,-8.6531,-80.8522,29.13,5,mb,,165,5.152,1.21,us,us6000dhsm,2021-02-15T10:52:54.040Z,"193 km WSW of Santiago de Cao, Peru",earthquake,8.5,6,0.033,285,reviewed,us,us
2021-02-15T10:29:40.160Z,17.9195,-66.8146,15,2.5,md,11,225,0.0852,0.14,pr,pr2021046007,2021-02-15T11:28:09.118Z,"8 km S of Indios, Puerto Rico",earthquake,0.71,0.51,0.14,6,reviewed,pr,pr
2021-02-15T10:27:17.892Z,62.5388,-151.1102,92.1,1.7,ml,,,,0.23,ak,ak021248u4h4,2021-02-15T10:36:19.623Z,"18 km WNW of Petersville, Alaska",earthquake,,1.5,,,automatic,ak,ak
2021-02-15T10:13:46.731Z,68.2043,-146.3224,0,3.8,ml,,,,0.98,ak,ak021248r6q9,2021-02-15T10:33:22.463Z,"33 km WNW of Arctic Village, Alaska",earthquake,,210.5,,,automatic,ak,ak
2021-02-15T10:08:53.000Z,36.0855,-117.9266667,5.34,1.03,ml,8,199,0.06638,0.06,ci,ci39552463,2021-02-15T10:12:28.428Z,"5km NNE of Coso Junction, CA",earthquake,0.3,0.87,0.277,13,automatic,ci,ci
2021-02-15T10:07:02.205Z,-22.8676,172.5979,107.5,5,mb,,121,7.222,0.99,us,us6000dhse,2021-02-15T10:24:04.040Z,"southeast of the Loyalty Islands",earthquake,15.4,10.4,0.103,30,reviewed,us,us
2021-02-15T10:05:23.570Z,38.1593,-117.9065,9.5,0.8,ml,11,104.06,0.031,0.14,nn,nn00800447,2021-02-15T10:51:10.587Z,"31 km SE of Mina, Nevada",earthquake,,2.9,,,automatic,nn,nn
2021-02-15T09:56:06.673Z,-19.758,-69.4437,95.7,4.7,mb,,56,0.199,0.8,us,us6000dhsc,2021-02-15T10:32:36.684Z,"89 km NE of Iquique, Chile",earthquake,5.4,4.1,0.076,55,reviewed,us,us
2021-02-15T09:54:02.250Z,35.6623333,-117.4755,3.98,1.3,ml,17,88,0.07644,0.19,ci,ci39552455,2021-02-15T09:57:37.314Z,"13km SSW of Searles Valley, CA",earthquake,0.43,1.15,0.202,15,automatic,ci,ci
2021-02-15T09:46:28.055Z,63.2789,-153.2998,0.9,1.8,ml,,,,0.99,ak,ak021248csp4,2021-02-15T09:57:04.614Z,"61 km ENE of Nikolai, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-02-15T09:39:15.653Z,64.0322,-148.9389,3.9,3.1,ml,,,,0.69,ak,ak021248b98q,2021-02-15T09:52:03.697Z,"8 km E of Ferry, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-02-15T09:30:49.080Z,36.0828323,-119.9035034,-0.5,2.47,md,31,88,0.3057,0.34,nc,nc73523466,2021-02-15T11:02:05.059Z,"10km NNE of Kettleman City, CA",earthquake,0.61,11.82,0.09,18,automatic,nc,nc
2021-02-15T09:28:45.116Z,32.3013,-101.7859,5,3.3,mb_lg,,41,0.671,0.42,us,us6000dhs2,2021-02-15T09:44:20.964Z,"19 km N of Stanton, Texas",earthquake,1.5,1.9,0.047,120,reviewed,us,us
2021-02-15T09:23:31.660Z,35.6625,-117.4565,10.12,1.37,ml,20,116,0.07598,0.18,ci,ci39552431,2021-02-15T09:34:26.430Z,"13km SSW of Searles Valley, CA",earthquake,0.42,0.88,0.123,15,automatic,ci,ci
2021-02-15T09:13:50.223Z,-19.5098,168.0736,10,4.7,mb,,117,9.622,0.27,us,us6000dhs0,2021-02-15T09:58:16.040Z,"126 km W of Isangel, Vanuatu",earthquake,9,1.9,0.129,18,reviewed,us,us
